R 01001100110101001110000111111101    R 01001100110101001110001011111101    R 01001100110101001110001111111101    R 01001100110101001110010011111101
R 01001100110101001110000111111110    R 01001100110101001110001011111110    R 01001100110101001110001111111110    R 01001100110101001110010011111110
R 01001100110101001110000111111111    R 01001100110101001110001011111111    R 01001100110101001110001111111111    R 01001100110101001110010011111111
R 01001100110101001110001000000000    R 01001100110101001110001100000000    R 01001100110101001110010000000000    R 01001100110101001110010100000000
R 01001100110101001110001000000001    R 01001100110101001110001100000001    R 01001100110101001110010000000001    R 01001100110101001110010100000001
R 01001100110101001110001000000010    R 01001100110101001110001100000010    R 01001100110101001110010000000010    R 01001100110101001110010100000010
R 01001100110101001110001000000011    R 01001100110101001110001100000011    R 01001100110101001110010000000011    R 01001100110101001110010100000011
R 01001100110101001110001000000100    R 01001100110101001110001100000100    R 01001100110101001110010000000100    R 01001100110101001110010100000100
R 01001100110101001110001000000101    R 01001100110101001110001100000101    R 01001100110101001110010000000101    R 01001100110101001110010100000101
R 01001100110101001110001000000110    R 01001100110101001110001100000110    R 01001100110101001110010000000110    R 01001100110101001110010100000110
R 01001100110101001110001000000111    R 01001100110101001110001100000111    R 01001100110101001110010000000111    R 01001100110101001110010100000111
R 01001100110101001110001000001000    R 01001100110101001110001100001000    R 01001100110101001110010000001000    R 01001100110101001110010100001000
R 01001100110101001110001000001001    R 01001100110101001110001100001001    R 01001100110101001110010000001001    R 01001100110101001110010100001001
R 01001100110101001110001000001010    R 01001100110101001110001100001010    R 01001100110101001110010000001010    R 01001100110101001110010100001010
R 01001100110101001110001000001011    R 01001100110101001110001100001011    R 01001100110101001110010000001011    R 01001100110101001110010100001011
R 01001100110101001110001000001100    R 01001100110101001110001100001100    R 01001100110101001110010000001100    R 01001100110101001110010100001100
R 01001100110101001110001000001101    R 01001100110101001110001100001101    R 01001100110101001110010000001101    R 01001100110101001110010100001101
R 01001100110101001110001000001110    R 01001100110101001110001100001110    R 01001100110101001110010000001110    R 01001100110101001110010100001110
R 01001100110101001110001000001111    R 01001100110101001110001100001111    R 01001100110101001110010000001111    R 01001100110101001110010100001111
R 01001100110101001110001000010000    R 01001100110101001110001100010000    R 01001100110101001110010000010000    R 01001100110101001110010100010000
R 01001100110101001110001000010001    R 01001100110101001110001100010001    R 01001100110101001110010000010001    R 01001100110101001110010100010001
R 01001100110101001110001000010010    R 01001100110101001110001100010010    R 01001100110101001110010000010010    R 01001100110101001110010100010010
R 01001100110101001110001000010011    R 01001100110101001110001100010011    R 01001100110101001110010000010011    R 01001100110101001110010100010011
R 01001100110101001110001000010100    R 01001100110101001110001100010100    R 01001100110101001110010000010100    R 01001100110101001110010100010100
R 01001100110101001110001000010101    R 01001100110101001110001100010101    R 01001100110101001110010000010101    R 01001100110101001110010100010101
R 01001100110101001110001000010110    R 01001100110101001110001100010110    R 01001100110101001110010000010110    R 01001100110101001110010100010110
R 01001100110101001110001000010111    R 01001100110101001110001100010111    R 01001100110101001110010000010111    R 01001100110101001110010100010111
R 01001100110101001110001000011000    R 01001100110101001110001100011000    R 01001100110101001110010000011000    R 01001100110101001110010100011000
R 01001100110101001110001000011001    R 01001100110101001110001100011001    R 01001100110101001110010000011001    R 01001100110101001110010100011001
R 01001100110101001110001000011010    R 01001100110101001110001100011010    R 01001100110101001110010000011010    R 01001100110101001110010100011010
R 01001100110101001110001000011011    R 01001100110101001110001100011011    R 01001100110101001110010000011011    R 01001100110101001110010100011011
R 01001100110101001110001000011100    R 01001100110101001110001100011100    R 01001100110101001110010000011100    R 01001100110101001110010100011100
R 01001100110101001110001000011101    R 01001100110101001110001100011101    R 01001100110101001110010000011101    R 01001100110101001110010100011101
R 01001100110101001110001000011110    R 01001100110101001110001100011110    R 01001100110101001110010000011110    R 01001100110101001110010100011110
R 01001100110101001110001000011111    R 01001100110101001110001100011111    R 01001100110101001110010000011111    R 01001100110101001110010100011111
R 01001100110101001110001000100000    R 01001100110101001110001100100000    R 01001100110101001110010000100000    R 01001100110101001110010100100000
R 01001100110101001110001000100001    R 01001100110101001110001100100001    R 01001100110101001110010000100001    R 01001100110101001110010100100001
R 01001100110101001110001000100010    R 01001100110101001110001100100010    R 01001100110101001110010000100010    R 01001100110101001110010100100010
R 01001100110101001110001000100011    R 01001100110101001110001100100011    R 01001100110101001110010000100011    R 01001100110101001110010100100011
R 01001100110101001110001000100100    R 01001100110101001110001100100100    R 01001100110101001110010000100100    R 01001100110101001110010100100100
R 01001100110101001110001000100101    R 01001100110101001110001100100101    R 01001100110101001110010000100101    R 01001100110101001110010100100101
R 01001100110101001110001000100110    R 01001100110101001110001100100110    R 01001100110101001110010000100110    R 01001100110101001110010100100110
R 01001100110101001110001000100111    R 01001100110101001110001100100111    R 01001100110101001110010000100111    R 01001100110101001110010100100111
R 01001100110101001110001000101000    R 01001100110101001110001100101000    R 01001100110101001110010000101000    R 01001100110101001110010100101000
R 01001100110101001110001000101001    R 01001100110101001110001100101001    R 01001100110101001110010000101001    R 01001100110101001110010100101001
R 01001100110101001110001000101010    R 01001100110101001110001100101010    R 01001100110101001110010000101010    R 01001100110101001110010100101010
R 01001100110101001110001000101011    R 01001100110101001110001100101011    R 01001100110101001110010000101011    R 01001100110101001110010100101011
R 01001100110101001110001000101100    R 01001100110101001110001100101100    R 01001100110101001110010000101100    R 01001100110101001110010100101100
R 01001100110101001110001000101101    R 01001100110101001110001100101101    R 01001100110101001110010000101101    R 01001100110101001110010100101101
R 01001100110101001110001000101110    R 01001100110101001110001100101110    R 01001100110101001110010000101110    R 01001100110101001110010100101110
R 01001100110101001110001000101111    R 01001100110101001110001100101111    R 01001100110101001110010000101111    R 01001100110101001110010100101111
R 01001100110101001110001000110000    R 01001100110101001110001100110000    R 01001100110101001110010000110000    R 01001100110101001110010100110000
R 01001100110101001110001000110001    R 01001100110101001110001100110001    R 01001100110101001110010000110001    R 01001100110101001110010100110001
R 01001100110101001110001000110010    R 01001100110101001110001100110010    R 01001100110101001110010000110010    R 01001100110101001110010100110010
R 01001100110101001110001000110011    R 01001100110101001110001100110011    R 01001100110101001110010000110011    R 01001100110101001110010100110011
R 01001100110101001110001000110100    R 01001100110101001110001100110100    R 01001100110101001110010000110100    R 01001100110101001110010100110100
R 01001100110101001110001000110101    R 01001100110101001110001100110101    R 01001100110101001110010000110101    R 01001100110101001110010100110101
R 01001100110101001110001000110110    R 01001100110101001110001100110110    R 01001100110101001110010000110110    R 01001100110101001110010100110110
R 01001100110101001110001000110111    R 01001100110101001110001100110111    R 01001100110101001110010000110111    R 01001100110101001110010100110111
R 01001100110101001110001000111000    R 01001100110101001110001100111000    R 01001100110101001110010000111000    R 01001100110101001110010100111000
R 01001100110101001110001000111001    R 01001100110101001110001100111001    R 01001100110101001110010000111001    R 01001100110101001110010100111001
R 01001100110101001110001000111010    R 01001100110101001110001100111010    R 01001100110101001110010000111010    R 01001100110101001110010100111010
R 01001100110101001110001000111011    R 01001100110101001110001100111011    R 01001100110101001110010000111011    R 01001100110101001110010100111011
R 01001100110101001110001000111100    R 01001100110101001110001100111100    R 01001100110101001110010000111100    R 01001100110101001110010100111100
R 01001100110101001110001000111101    R 01001100110101001110001100111101    R 01001100110101001110010000111101    R 01001100110101001110010100111101
R 01001100110101001110001000111110    R 01001100110101001110001100111110    R 01001100110101001110010000111110    R 01001100110101001110010100111110
R 01001100110101001110001000111111    R 01001100110101001110001100111111    R 01001100110101001110010000111111    R 01001100110101001110010100111111
R 01001100110101001110001001000000    R 01001100110101001110001101000000    R 01001100110101001110010001000000    R 01001100110101001110010101000000
R 01001100110101001110001001000001    R 01001100110101001110001101000001    R 01001100110101001110010001000001    R 01001100110101001110010101000001
R 01001100110101001110001001000010    R 01001100110101001110001101000010    R 01001100110101001110010001000010    R 01001100110101001110010101000010
R 01001100110101001110001001000011    R 01001100110101001110001101000011    R 01001100110101001110010001000011    R 01001100110101001110010101000011
R 01001100110101001110001001000100    R 01001100110101001110001101000100    R 01001100110101001110010001000100    R 01001100110101001110010101000100
R 01001100110101001110001001000101    R 01001100110101001110001101000101    R 01001100110101001110010001000101    R 01001100110101001110010101000101
R 01001100110101001110001001000110    R 01001100110101001110001101000110    R 01001100110101001110010001000110    R 01001100110101001110010101000110
R 01001100110101001110001001000111    R 01001100110101001110001101000111    R 01001100110101001110010001000111    R 01001100110101001110010101000111
R 01001100110101001110001001001000    R 01001100110101001110001101001000    R 01001100110101001110010001001000    R 01001100110101001110010101001000
R 01001100110101001110001001001001    R 01001100110101001110001101001001    R 01001100110101001110010001001001    R 01001100110101001110010101001001
R 01001100110101001110001001001010    R 01001100110101001110001101001010    R 01001100110101001110010001001010    R 01001100110101001110010101001010
R 01001100110101001110001001001011    R 01001100110101001110001101001011    R 01001100110101001110010001001011    R 01001100110101001110010101001011
R 01001100110101001110001001001100    R 01001100110101001110001101001100    R 01001100110101001110010001001100    R 01001100110101001110010101001100
R 01001100110101001110001001001101    R 01001100110101001110001101001101    R 01001100110101001110010001001101    R 01001100110101001110010101001101
R 01001100110101001110001001001110    R 01001100110101001110001101001110    R 01001100110101001110010001001110    R 01001100110101001110010101001110
R 01001100110101001110001001001111    R 01001100110101001110001101001111    R 01001100110101001110010001001111    R 01001100110101001110010101001111
R 01001100110101001110001001010000    R 01001100110101001110001101010000    R 01001100110101001110010001010000    R 01001100110101001110010101010000
R 01001100110101001110001001010001    R 01001100110101001110001101010001    R 01001100110101001110010001010001    R 01001100110101001110010101010001
R 01001100110101001110001001010010    R 01001100110101001110001101010010    R 01001100110101001110010001010010    R 01001100110101001110010101010010
R 01001100110101001110001001010011    R 01001100110101001110001101010011    R 01001100110101001110010001010011    R 01001100110101001110010101010011
R 01001100110101001110001001010100    R 01001100110101001110001101010100    R 01001100110101001110010001010100    R 01001100110101001110010101010100
R 01001100110101001110001001010101    R 01001100110101001110001101010101    R 01001100110101001110010001010101    R 01001100110101001110010101010101
R 01001100110101001110001001010110    R 01001100110101001110001101010110    R 01001100110101001110010001010110    R 01001100110101001110010101010110
R 01001100110101001110001001010111    R 01001100110101001110001101010111    R 01001100110101001110010001010111    R 01001100110101001110010101010111
R 01001100110101001110001001011000    R 01001100110101001110001101011000    R 01001100110101001110010001011000    R 01001100110101001110010101011000
R 01001100110101001110001001011001    R 01001100110101001110001101011001    R 01001100110101001110010001011001    R 01001100110101001110010101011001
R 01001100110101001110001001011010    R 01001100110101001110001101011010    R 01001100110101001110010001011010    R 01001100110101001110010101011010
R 01001100110101001110001001011011    R 01001100110101001110001101011011    R 01001100110101001110010001011011    R 01001100110101001110010101011011
R 01001100110101001110001001011100    R 01001100110101001110001101011100    R 01001100110101001110010001011100    R 01001100110101001110010101011100
R 01001100110101001110001001011101    R 01001100110101001110001101011101    R 01001100110101001110010001011101    R 01001100110101001110010101011101
R 01001100110101001110001001011110    R 01001100110101001110001101011110    R 01001100110101001110010001011110    R 01001100110101001110010101011110
R 01001100110101001110001001011111    R 01001100110101001110001101011111    R 01001100110101001110010001011111    R 01001100110101001110010101011111
R 01001100110101001110001001100000    R 01001100110101001110001101100000    R 01001100110101001110010001100000    R 01001100110101001110010101100000
R 01001100110101001110001001100001    R 01001100110101001110001101100001    R 01001100110101001110010001100001    R 01001100110101001110010101100001
R 01001100110101001110001001100010    R 01001100110101001110001101100010    R 01001100110101001110010001100010    R 01001100110101001110010101100010
R 01001100110101001110001001100011    R 01001100110101001110001101100011    R 01001100110101001110010001100011    R 01001100110101001110010101100011
R 01001100110101001110001001100100    R 01001100110101001110001101100100    R 01001100110101001110010001100100    R 01001100110101001110010101100100
R 01001100110101001110001001100101    R 01001100110101001110001101100101    R 01001100110101001110010001100101    R 01001100110101001110010101100101
R 01001100110101001110001001100110    R 01001100110101001110001101100110    R 01001100110101001110010001100110    R 01001100110101001110010101100110
R 01001100110101001110001001100111    R 01001100110101001110001101100111    R 01001100110101001110010001100111    R 01001100110101001110010101100111
R 01001100110101001110001001101000    R 01001100110101001110001101101000    R 01001100110101001110010001101000    R 01001100110101001110010101101000
R 01001100110101001110001001101001    R 01001100110101001110001101101001    R 01001100110101001110010001101001    R 01001100110101001110010101101001
R 01001100110101001110001001101010    R 01001100110101001110001101101010    R 01001100110101001110010001101010    R 01001100110101001110010101101010
R 01001100110101001110001001101011    R 01001100110101001110001101101011    R 01001100110101001110010001101011    R 01001100110101001110010101101011
R 01001100110101001110001001101100    R 01001100110101001110001101101100    R 01001100110101001110010001101100    R 01001100110101001110010101101100
R 01001100110101001110001001101101    R 01001100110101001110001101101101    R 01001100110101001110010001101101    R 01001100110101001110010101101101
R 01001100110101001110001001101110    R 01001100110101001110001101101110    R 01001100110101001110010001101110    R 01001100110101001110010101101110
R 01001100110101001110001001101111    R 01001100110101001110001101101111    R 01001100110101001110010001101111    R 01001100110101001110010101101111
R 01001100110101001110001001110000    R 01001100110101001110001101110000    R 01001100110101001110010001110000    R 01001100110101001110010101110000
R 01001100110101001110001001110001    R 01001100110101001110001101110001    R 01001100110101001110010001110001    R 01001100110101001110010101110001
R 01001100110101001110001001110010    R 01001100110101001110001101110010    R 01001100110101001110010001110010    R 01001100110101001110010101110010
R 01001100110101001110001001110011    R 01001100110101001110001101110011    R 01001100110101001110010001110011    R 01001100110101001110010101110011
